id_hogar,id_persona,peso_persona,region,grado_urbanizacion,anio_nacimiento,edad,sexo,pais_nacimiento,nacionalidad,situacion_actividad,situacion_profesional,horas_semana,jornada,tipo_contrato,personal_a_cargo,anios_experiencia,meses_desempleo_ref,meses_desempleo_5anios,ocupacion_isco08,sector_cnae,nivel_estudios,estado_salud,enfermedad_cronica,limitacion_actividad,necesito_medico_no_fue,renta_neta_salarial,renta_no_monetaria_salarial,renta_neta_hogar,renta_hogar_indicadores,unidades_consumo,num_miembros_hogar,tipo_hogar,hogar_riesgo_pobreza,hogar_carencia_material,retrasos_hipoteca_alquiler,retrasos_facturas,retrasos_deudas_no_vivienda,capacidad_gastos_imprevistos,capacidad_fin_de_mes,puede_vacaciones,puede_proteina_2dias,tiene_ordenador,tiene_coche,carga_prestamos_no_vivienda,puede_sustituir_muebles,puede_calefaccion_invierno,tipo_vivienda,regimen_tenencia,num_habitaciones,importe_alquiler,gastos_vivienda,cuota_hipoteca,cambio_ingresos_12m,motivo_aumento_ingresos,motivo_disminucion_ingresos,expectativa_ingresos_12m,carga_asistencia_medica,carga_asistencia_dental,carga_medicamentos,baja_intensidad_laboral_2020,arope_2020,carencia_material_social_severa,arope_2030,estres_financiero_alto,renta_hogar_per_capita,ratio_carga_vivienda,precariedad_laboral
18260,1826001,323.49507,ES30,Zona muy poblada,1968,56,Hombre,España,España,Trabajando,Asalariado,39.0,Tiempo completo,Indefinido escrito,No,0.0,0.0,0.0,51.0,Otros servicios,Post-secundaria,Regular,Sí,,No,19045.7,1399.3,19279.8,19279.8,1.0,1,Una persona: hombre 30-64 años,No,No,No,,No,Sí,Con cierta facilidad,Sí,Sí,Sí,No,Ninguna carga,No (otras razones),Sí,Piso ≥10 viviendas,Cesión gratuita,3.0,0.0,114.66,0.0,Se mantienen,,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No,0,19279.8,0.07224307849015789,0
18261,1826101,1188.45686,ES30,Zona muy poblada,1986,38,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,15.0,0.0,1.0,33.0,Actividades inmobiliarias,Post-secundaria,Bueno,No,No limitado,No,39093.9,1132.2,41008.07,41008.07,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,No (no puede permitírselo),Una carga pesada,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,3.0,0.0,503.36,0.0,Se mantienen,,,Mantenerse,Ninguna carga,No ha utilizado,Una carga razonable,No,No,No,No,0,41008.07,0.15450799229547318,0
18262,1826201,539.86277,ES30,Zona muy poblada,1960,64,Mujer,España,España,Trabajando,Asalariado,45.0,Tiempo completo,Indefinido escrito,Sí,41.0,0.0,0.0,26.0,Industria manufacturera,Post-secundaria,Bueno,No,No limitado,No,69062.6,338.1,70433.77,70433.77,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con mucha facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,4.0,0.0,262.16,0.0,Han aumentado,Revalorización salario,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No aplicable (≥60 años),No,No,No,0,70433.77,0.04555171684819279,0
18263,1826301,1732.93499,ES30,Zona muy poblada,1980,44,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,25.0,0.0,0.0,25.0,Información/comunicaciones,Post-secundaria,Bueno,No,No limitado,No,25872.6,0.0,26370.0,26370.0,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,4.0,0.0,429.7,330.0,Se mantienen,,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,26370.0,0.19929964518448087,0
18264,1826401,323.49507,ES30,Zona muy poblada,1967,57,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,30.0,0.0,0.0,23.0,Educación,Post-secundaria,Bueno,No,No limitado,No,29402.9,0.0,28480.6,28480.6,1.0,1,Una persona: hombre 30-64 años,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,4.0,0.0,326.14,0.0,Se mantienen,,,Mantenerse,Ninguna carga,No ha utilizado,Ninguna carga,No,No,No,No,0,28480.6,0.13310523791870868,0
18265,1826501,403.59904,ES30,Zona muy poblada,1971,53,Mujer,España,España,Trabajando,Asalariado,48.0,Tiempo completo,Indefinido escrito,No,29.0,0.0,0.0,13.0,Construcción,Post-secundaria,Bueno,No,No limitado,No,45760.1,3414.7,120766.7,120766.7,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con cierta dificultad,No,Sí,Sí,Sí,Una carga pesada,No (no puede permitírselo),No,Piso ≥10 viviendas,Propiedad con hipoteca,4.0,0.0,731.14,500.0,Se mantienen,,,Mantenerse,Una carga razonable,No ha utilizado,Una carga razonable,No,No,Sí,Sí,0,67092.61111111111,0.19173209848754702,0
18265,1826502,401.32827,ES30,Zona muy poblada,1972,52,Hombre,España,España,Trabajando,Asalariado,50.0,Tiempo completo,Indefinido escrito,Sí,29.0,0.0,0.0,12.0,Información/comunicaciones,Post-secundaria,Regular,Sí,No limitado,No,71978.8,0.0,120766.7,120766.7,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con cierta dificultad,No,Sí,Sí,Sí,Una carga pesada,No (no puede permitírselo),No,Piso ≥10 viviendas,Propiedad con hipoteca,4.0,0.0,731.14,500.0,Se mantienen,,,Mantenerse,Una carga razonable,No ha utilizado,Una carga razonable,No,No,Sí,Sí,0,67092.61111111111,0.12189255725296892,0
18266,1826602,7589.09319,ES30,Zona muy poblada,1966,58,Hombre,Extranjero no UE,Extranjero no UE,Trabajando,Asalariado,40.0,Tiempo completo,,Sí,31.0,0.0,0.0,33.0,Industria manufacturera,Post-secundaria,Bueno,Sí,No limitado,No,19647.4,0.0,20754.2,20754.2,2.8,5,Otros con niños,Sí,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,1600.0,1719.59,0.0,Se mantienen,,,Mejorar,Ninguna carga,Una carga razonable,Una carga razonable,No,Sí,No,Sí,0,7412.214285714286,1.0502702647678572,0
18267,1826701,1160.70182,ES30,Zona muy poblada,1979,45,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,24.0,0.0,0.0,41.0,Actividades profesionales/científicas,Secundaria 1a etapa,Bueno,Sí,No limitado,No,34211.3,13.2,35087.2,35087.2,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,No (no puede permitírselo),Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,380.72,0.0,Se mantienen,,,Mantenerse,Una carga razonable,Ninguna carga,Una carga pesada,No,No,No,No,0,35087.2,0.13354184143835515,0
18268,1826801,3102.8411,ES30,Zona muy poblada,1991,33,Mujer,Extranjero no UE,Extranjero no UE,Trabajando,Asalariado,40.0,Tiempo completo,Temporal escrito,No,10.0,0.0,0.0,22.0,Sanidad/servicios sociales,Post-secundaria,Muy bueno,No,No limitado,No,49692.9,40.2,47675.5,47675.5,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con cierta dificultad,Sí,Sí,Sí,No,Una carga razonable,Sí,Sí,Piso ≥10 viviendas,Alquiler precio mercado,3.0,803.5,937.03,0.0,Se mantienen,,,,Una carga razonable,Una carga razonable,Ninguna carga,No,No,No,No,0,47675.5,0.2262769932928044,1
18270,1827001,1010.34638,ES30,Zona muy poblada,1962,62,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,48.0,0.0,0.0,51.0,Hogares como empleadores,Hasta primaria,Bueno,No,Limitado pero no gravemente,No,37322.4,0.0,52780.9,52780.9,2.0,3,Otros sin niños,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Alquiler precio reducido,4.0,200.0,231.02,0.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga pesada,Una carga razonable,No aplicable (≥60 años),No,No,No,0,26390.45,0.07427818146742975,0
18272,1827201,1038.07653,ES30,Zona muy poblada,1975,49,Hombre,España,España,Trabajando,Asalariado,39.0,Tiempo parcial,Indefinido escrito,No,23.0,0.0,0.0,72.0,Industria manufacturera,Secundaria 1a etapa,Bueno,No,No limitado,No,18737.1,61.1,44643.05,44643.05,2.0,3,Otros sin niños,No,No,"Sí, dos o más veces","Sí, dos o más veces",No,No (no puede),Con dificultad,Sí,Sí,Sí,No,Ninguna carga,No (no puede permitírselo),Sí,Piso ≥10 viviendas,Alquiler precio mercado,4.0,700.0,850.33,0.0,Se mantienen,,,,Una carga pesada,Una carga pesada,Una carga pesada,No,No,No,No,1,22321.525,0.5445858750820566,1
18273,1827301,590.95417,ES30,Zona muy poblada,1967,57,Mujer,España,España,Trabajando,Asalariado,35.0,Tiempo completo,Indefinido escrito,Sí,33.0,0.0,0.0,25.0,Actividades artísticas/recreativas,Post-secundaria,Bueno,Sí,Limitado pero no gravemente,No,43984.7,88.1,45548.9,45548.9,1.0,1,Una persona: mujer 30-64 años,No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,No (no puede permitírselo),Una carga razonable,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,0.0,366.14,0.0,Han aumentado,Revalorización salario,,Mantenerse,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No,0,45548.9,0.09989109849561326,0
18274,1827401,250.92355,ES30,Zona muy poblada,1979,45,Mujer,España,España,Trabajando,Asalariado,50.0,Tiempo completo,Temporal escrito,Sí,23.0,0.0,0.0,21.0,Educación,Post-secundaria,Regular,Sí,No limitado,No,39019.0,0.0,40109.2,40109.2,1.3,2,1 adulto con niños,No,No,No,No,No,Sí,Con cierta dificultad,No,Sí,Sí,No (no puede permitírselo),Ninguna carga,No (otras razones),Sí,Piso ≥10 viviendas,Alquiler precio mercado,3.0,1028.5,1292.03,0.0,Se mantienen,,,,Una carga razonable,Una carga razonable,Una carga razonable,No,No,No,No,0,30853.230769230766,0.39735410953637973,1
18276,1827601,840.46286,ES30,Zona muy poblada,1986,38,Hombre,España,España,Trabajando,Asalariado,38.0,Tiempo completo,Indefinido escrito,No,15.0,0.0,0.0,25.0,Actividades financieras/seguros,Post-secundaria,Bueno,No,No limitado,No,46025.1,201.6,108945.7,108945.7,1.8,3,"2 adultos, 1 niño",No,No,No,No,No,Sí,Con mucha facilidad,Sí,Sí,Sí,Sí,Ninguna carga,Sí,Sí,Piso ≥10 viviendas,Propiedad con hipoteca,6.0,0.0,433.37,450.0,Se mantienen,,,Mantenerse,Una carga razonable,Ninguna carga,Una carga razonable,No,No,No,No,0,60525.38888888888,0.11299138948095715,0
