id_hogar,id_persona,peso_persona,region,grado_urbanizacion,anio_nacimiento,edad,sexo,pais_nacimiento,nacionalidad,situacion_actividad,situacion_profesional,horas_semana,jornada,tipo_contrato,personal_a_cargo,anios_experiencia,meses_desempleo_ref,meses_desempleo_5anios,ocupacion_isco08,sector_cnae,nivel_estudios,estado_salud,enfermedad_cronica,limitacion_actividad,necesito_medico_no_fue,renta_neta_salarial,renta_no_monetaria_salarial,renta_neta_hogar,renta_hogar_indicadores,unidades_consumo,num_miembros_hogar,tipo_hogar,hogar_riesgo_pobreza,hogar_carencia_material,retrasos_hipoteca_alquiler,retrasos_facturas,retrasos_deudas_no_vivienda,capacidad_gastos_imprevistos,capacidad_fin_de_mes,puede_vacaciones,puede_proteina_2dias,tiene_ordenador,tiene_coche,carga_prestamos_no_vivienda,puede_sustituir_muebles,puede_calefaccion_invierno,tipo_vivienda,regimen_tenencia,num_habitaciones,importe_alquiler,gastos_vivienda,cuota_hipoteca,cambio_ingresos_12m,motivo_aumento_ingresos,motivo_disminucion_ingresos,expectativa_ingresos_12m,carga_asistencia_medica,carga_asistencia_dental,carga_medicamentos,baja_intensidad_laboral_2020,arope_2020,carencia_material_social_severa,arope_2030
28652,2865201,999.71595,ES30,Zona media,1972,52,Hombre,España,España,Trabajando,Asalariado,45.0,Tiempo completo,Indefinido escrito,Sí,30.0,0.0,0.0,31.0,Industria manufacturera,Secundaria 1ª etapa con título,Bueno,No,No limitado,,38306.5,0.0,35522.4,35522.4,1.5,2,2 adultos <65 sin niños,No,No,,No,No,No (no puede),Con cierta dificultad,Sí,Sí,Sí,Sí,Una carga razonable,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,4.0,,266.06,,Se mantienen,,,Mantenerse,Una carga razonable,Ninguna carga,Una carga razonable,No,No,No,No
28653,2865301,392.47917,ES30,Zona media,1973,51,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,35.0,0.0,0.0,71.0,Construcción,Post-secundaria no superior,Bueno,Sí,Limitado pero no gravemente,No,19448.3,0.0,27042.4,27042.4,2.0,3,"2 adultos, 1 niño",No,No,No,No,,Sí,Con dificultad,Sí,Sí,Sí,Sí,,No (no puede permitírselo),No,Piso <10 viviendas,Propiedad con hipoteca,4.0,,561.73,650.0,Han disminuido,,Incapacidad,Mejorar,Una carga razonable,Ninguna carga,Una carga razonable,No,No,No,No
28653,2865302,394.49993,ES30,Zona media,1978,46,Mujer,España,España,Trabajando,Asalariado,25.0,Tiempo parcial,Indefinido escrito,No,18.0,0.0,0.0,91.0,Hogares como empleadores,Secundaria 1ª etapa,Bueno,No,No limitado,,6600.0,0.0,27042.4,27042.4,2.0,3,"2 adultos, 1 niño",No,No,No,No,,Sí,Con dificultad,Sí,Sí,Sí,Sí,,No (no puede permitírselo),No,Piso <10 viviendas,Propiedad con hipoteca,4.0,,561.73,650.0,Han disminuido,,Incapacidad,Mejorar,Una carga razonable,Ninguna carga,Una carga razonable,No,No,No,No
28655,2865501,712.88026,ES30,Zona media,1985,39,Hombre,España,España,Trabajando,Asalariado,20.0,Tiempo parcial,Temporal escrito,No,,0.0,0.0,61.0,Agricultura/ganadería/pesca,Post-secundaria no superior,Bueno,No,No limitado,,14316.53,75.0,37360.49,37360.49,2.0,3,Otros sin niños,No,Sí,,No,,No (no puede),Con cierta facilidad,No,No,No (no puede permitírselo),No (no puede permitírselo),,No (otras razones),No,Piso ≥10 viviendas,Propiedad sin hipoteca,3.0,,256.34,,Se mantienen,,,,Ninguna carga,,,No,Sí,No,No
28656,2865601,347.48043,ES30,Zona media,1960,64,Mujer,España,España,Trabajando,Asalariado,20.0,Tiempo parcial,Indefinido escrito,No,10.0,0.0,0.0,91.0,Educación,Primaria incompleta,Regular,Sí,No limitado,Sí,7909.4,0.0,27556.5,27556.5,1.5,2,2 adultos ≥65 sin niños,No,No,,No,,No (no puede),Con cierta dificultad,Sí,Sí,No,Sí,,Sí,Sí,Piso ≥10 viviendas,Propiedad sin hipoteca,5.0,,323.1,,Se mantienen,,,Mantenerse,Ninguna carga,Una carga pesada,Una carga razonable,No aplicable (≥60 años),No,No,No
28661,2866101,1219.97104,ES30,Zona muy poblada,1974,50,Mujer,España,España,Trabajando,Asalariado,45.0,Tiempo completo,Indefinido escrito,Sí,25.0,0.0,0.0,22.0,Sanidad/servicios sociales,Post-secundaria no superior,Bueno,Sí,No limitado,,48558.8,0.0,133173.4,133173.4,3.8,7,"2 adultos, ≥3 niños",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Una carga razonable,Sí,Sí,Unifamiliar independiente,Propiedad con hipoteca,10.0,,1706.95,2900.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No
28661,2866102,1213.10713,ES30,Zona muy poblada,1974,50,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,Sí,25.0,0.0,0.0,22.0,Sanidad/servicios sociales,Post-secundaria no superior,Muy bueno,No,No limitado,,84821.2,9337.0,133173.4,133173.4,3.8,7,"2 adultos, ≥3 niños",No,No,No,No,No,Sí,Con facilidad,Sí,Sí,Sí,Sí,Una carga razonable,Sí,Sí,Unifamiliar independiente,Propiedad con hipoteca,10.0,,1706.95,2900.0,Se mantienen,,,Mantenerse,Ninguna carga,Una carga razonable,Ninguna carga,No,No,No,No
28664,2866402,928.40491,ES30,Zona muy poblada,1982,42,Hombre,UE,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,15.0,0.0,0.0,31.0,Transporte/almacenamiento,Post-secundaria no superior,Bueno,No,No limitado,,18097.09,0.0,52075.19,52075.19,1.5,2,2 adultos ≥65 sin niños,No,No,,No,No,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,No (no puede permitírselo),Sí,Adosada/pareada,Propiedad sin hipoteca,7.0,,473.62,,Se mantienen,,,,Ninguna carga,,Ninguna carga,No,No,No,No
28665,2866501,714.23894,ES30,Zona muy poblada,1973,51,Mujer,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,29.0,0.0,0.0,12.0,Energía eléctrica/gas,Post-secundaria no superior,Bueno,Sí,Limitado pero no gravemente,No,82026.8,4462.8,152869.0,152869.0,2.5,4,"2 adultos, 2 niños",No,No,No,No,,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Unifamiliar independiente,Propiedad con hipoteca,6.0,,739.25,,Se mantienen,,,Mantenerse,Ninguna carga,,,No,No,No,No
28665,2866504,707.19171,ES30,Zona muy poblada,1969,55,Hombre,España,España,Trabajando,Asalariado,40.0,Tiempo completo,Indefinido escrito,No,35.0,0.0,0.0,25.0,Energía eléctrica/gas,Post-secundaria no superior,Muy bueno,No,No limitado,,49442.1,872.4,152869.0,152869.0,2.5,4,"2 adultos, 2 niños",No,No,No,No,,Sí,Con cierta facilidad,Sí,Sí,Sí,Sí,,Sí,Sí,Unifamiliar independiente,Propiedad con hipoteca,6.0,,739.25,,Se mantienen,,,Mantenerse,Ninguna carga,,,No,No,No,No
