ocupacion_isco08,jornada,tipo_contrato,renta_neta_salarial
53.0,Tiempo completo,Temporal escrito,10910.04
12.0,Tiempo completo,Indefinido escrito,27796.9
52.0,Tiempo completo,Indefinido escrito,17953.1
91.0,Tiempo completo,Indefinido escrito,11264.98
91.0,Tiempo completo,Indefinido escrito,10800.96
41.0,Tiempo completo,Indefinido escrito,25110.2
41.0,Tiempo completo,Indefinido escrito,19852.5
21.0,Tiempo completo,Indefinido escrito,35776.1
31.0,Tiempo completo,Indefinido escrito,44010.8
31.0,Tiempo completo,Indefinido escrito,15276.9
51.0,Tiempo completo,Indefinido escrito,15819.8
42.0,Tiempo completo,Indefinido escrito,14924.6
42.0,Tiempo completo,Indefinido escrito,15733.8
22.0,Tiempo completo,Indefinido escrito,38923.6
83.0,Tiempo completo,Indefinido escrito,27827.5
72.0,Tiempo completo,Indefinido escrito,18582.3
25.0,Tiempo completo,Indefinido escrito,56285.9
81.0,Tiempo completo,Indefinido escrito,15442.0
42.0,Tiempo parcial,Indefinido escrito,11740.0
41.0,Tiempo completo,Indefinido escrito,27447.2
23.0,Tiempo completo,Indefinido escrito,36218.2
43.0,Tiempo completo,Indefinido escrito,17865.2
25.0,Tiempo completo,Indefinido escrito,29882.4
54.0,Tiempo completo,Temporal escrito,14384.3
22.0,Tiempo completo,Temporal escrito,50888.4
54.0,Tiempo completo,Indefinido escrito,42897.6
42.0,Tiempo completo,Indefinido escrito,3302.6
26.0,Tiempo completo,Temporal escrito,6543.1
41.0,Tiempo completo,Indefinido escrito,20579.1
52.0,Tiempo completo,Indefinido escrito,17702.6
72.0,Tiempo completo,Temporal escrito,19301.3
33.0,Tiempo completo,Indefinido escrito,19292.9
33.0,Tiempo completo,Indefinido escrito,32844.8
52.0,Tiempo completo,Indefinido escrito,16939.7
83.0,Tiempo completo,Indefinido escrito,14218.2
94.0,Tiempo completo,Temporal escrito,19335.5
33.0,Tiempo completo,Indefinido escrito,17499.8
25.0,Tiempo completo,Indefinido escrito,25113.3
41.0,Tiempo completo,Indefinido escrito,36163.1
25.0,Tiempo completo,Indefinido escrito,32860.8
23.0,Tiempo completo,Indefinido escrito,46290.7
3.0,Tiempo completo,Indefinido escrito,41951.1
26.0,Tiempo completo,Temporal escrito,53574.0
23.0,Tiempo completo,Indefinido escrito,61610.7
25.0,Tiempo completo,Indefinido escrito,45750.6
22.0,Tiempo parcial,Indefinido escrito,22752.3
32.0,Tiempo completo,Indefinido escrito,25792.5
41.0,Tiempo parcial,Indefinido escrito,8250.5
31.0,Tiempo completo,Indefinido escrito,30829.5
93.0,Tiempo completo,Indefinido escrito,23664.2
51.0,Tiempo completo,Indefinido escrito,14331.0
32.0,Tiempo completo,Indefinido escrito,18898.3
23.0,Tiempo completo,Indefinido escrito,28500.9
72.0,Tiempo completo,Indefinido escrito,31467.0
51.0,Tiempo completo,Indefinido escrito,36720.6
52.0,Tiempo completo,Temporal escrito,5475.3
23.0,Tiempo completo,Indefinido escrito,38588.2
35.0,Tiempo completo,Indefinido escrito,35024.8
41.0,Tiempo completo,Indefinido escrito,19943.0
32.0,Tiempo parcial,Indefinido escrito,7876.8
54.0,Tiempo completo,Indefinido escrito,43626.8
33.0,Tiempo completo,Indefinido escrito,10753.4
24.0,Tiempo completo,Indefinido escrito,24391.9
24.0,Tiempo completo,Indefinido escrito,45557.9
32.0,Tiempo completo,Indefinido escrito,23979.3
43.0,Tiempo completo,Indefinido escrito,24681.21
24.0,Tiempo completo,Indefinido escrito,26713.8
74.0,Tiempo completo,Indefinido escrito,19746.5
96.0,Tiempo completo,Indefinido escrito,11871.9
24.0,Tiempo completo,Indefinido escrito,26317.1
23.0,Tiempo completo,Indefinido escrito,54726.3
71.0,Tiempo completo,Indefinido escrito,17145.86
91.0,Tiempo completo,Indefinido escrito,15506.44
91.0,Tiempo parcial,Temporal escrito,10924.27
31.0,Tiempo completo,Indefinido escrito,19380.8
43.0,Tiempo parcial,Indefinido escrito,9541.7
23.0,Tiempo completo,Indefinido escrito,47399.8
96.0,Tiempo parcial,Temporal escrito,10130.1
42.0,Tiempo completo,Indefinido escrito,33178.0
42.0,Tiempo parcial,,17232.0
41.0,Tiempo completo,Indefinido escrito,26145.8
34.0,Tiempo parcial,Temporal escrito,9532.8
21.0,Tiempo completo,Indefinido escrito,45506.8
54.0,Tiempo completo,Indefinido escrito,40613.4
23.0,Tiempo completo,Indefinido escrito,33100.7
35.0,Tiempo completo,Indefinido escrito,32867.5
72.0,Tiempo completo,Indefinido escrito,24847.8
41.0,Tiempo completo,Indefinido escrito,31409.0
91.0,Tiempo completo,Temporal escrito,17413.08
12.0,Tiempo completo,Indefinido escrito,54282.8
75.0,Tiempo parcial,Indefinido escrito,8326.8
91.0,Tiempo parcial,Indefinido escrito,20793.76
32.0,Tiempo parcial,Indefinido escrito,4536.7
23.0,Tiempo completo,Indefinido escrito,29402.9
51.0,Tiempo completo,Indefinido escrito,15026.3
12.0,Tiempo completo,Indefinido escrito,29352.4
75.0,Tiempo completo,Indefinido escrito,17829.7
24.0,Tiempo completo,Indefinido escrito,47998.8
35.0,Tiempo completo,Indefinido escrito,29171.0
54.0,Tiempo completo,Indefinido escrito,48212.5
24.0,Tiempo completo,Indefinido escrito,27789.6
41.0,Tiempo completo,Indefinido escrito,14866.9
74.0,Tiempo completo,Indefinido escrito,16707.3
52.0,Tiempo completo,Indefinido escrito,17427.5
41.0,Tiempo completo,Indefinido escrito,22245.1
34.0,Tiempo parcial,Indefinido escrito,5315.3
51.0,Tiempo completo,Indefinido escrito,13406.6
51.0,Tiempo completo,Indefinido escrito,15309.8
33.0,Tiempo completo,Indefinido escrito,14721.4
25.0,Tiempo completo,Indefinido escrito,67766.2
,Tiempo completo,Indefinido escrito,6988.2
23.0,Tiempo completo,Indefinido escrito,27800.0
42.0,Tiempo completo,Indefinido escrito,46687.9
35.0,Tiempo completo,Indefinido escrito,15794.2
32.0,Tiempo parcial,Indefinido escrito,14805.6
91.0,Tiempo parcial,Indefinido escrito,12373.64
42.0,Tiempo completo,Temporal escrito,18167.2
26.0,Tiempo completo,Indefinido escrito,25845.3
22.0,Tiempo completo,Indefinido escrito,36354.1
51.0,Tiempo completo,Indefinido escrito,19196.4
52.0,Tiempo completo,Indefinido escrito,15252.7
82.0,Tiempo completo,Indefinido escrito,22115.7
52.0,Tiempo completo,Indefinido escrito,23579.5
21.0,Tiempo completo,Indefinido escrito,26824.2
41.0,Tiempo completo,Indefinido escrito,10781.73
83.0,Tiempo completo,Indefinido escrito,33083.2
35.0,Tiempo completo,Indefinido escrito,42180.1
31.0,Tiempo completo,Indefinido escrito,27336.8
83.0,Tiempo parcial,Indefinido escrito,8502.2
61.0,Tiempo completo,Indefinido escrito,18038.99
73.0,Tiempo completo,Indefinido escrito,16518.3
34.0,Tiempo completo,Temporal escrito,9985.3
75.0,Tiempo completo,Indefinido escrito,19139.1
82.0,Tiempo completo,Indefinido escrito,22631.5
23.0,Tiempo completo,Indefinido escrito,16630.6
41.0,Tiempo completo,Indefinido escrito,15526.2
35.0,Tiempo completo,Indefinido escrito,54466.0
23.0,Tiempo parcial,Temporal escrito,12990.8
93.0,Tiempo parcial,Temporal escrito,11951.9
23.0,Tiempo completo,Indefinido verbal,4025.0
74.0,Tiempo completo,Indefinido escrito,22115.0
23.0,Tiempo completo,Indefinido escrito,30995.4
22.0,Tiempo completo,Indefinido escrito,15214.6
91.0,Tiempo completo,Indefinido escrito,12276.6
96.0,Tiempo completo,Indefinido escrito,16688.5
71.0,Tiempo completo,Indefinido escrito,18536.1
35.0,Tiempo completo,Indefinido escrito,47206.2
25.0,Tiempo completo,Indefinido escrito,35425.5
23.0,Tiempo completo,Indefinido escrito,30654.2
91.0,Tiempo parcial,Indefinido escrito,10051.0
34.0,Tiempo completo,Temporal escrito,25887.7
32.0,Tiempo completo,Indefinido escrito,21703.2
54.0,Tiempo completo,Indefinido escrito,29959.1
13.0,Tiempo completo,Indefinido escrito,75934.7
32.0,Tiempo parcial,Indefinido escrito,16473.4
26.0,Tiempo completo,Indefinido escrito,69062.6
54.0,Tiempo completo,Indefinido escrito,20539.5
25.0,Tiempo completo,Indefinido escrito,35236.4
24.0,Tiempo completo,Indefinido escrito,26609.9
52.0,Tiempo completo,Indefinido escrito,31173.2
34.0,Tiempo completo,Indefinido escrito,31685.9
42.0,Tiempo parcial,Temporal escrito,0.0
32.0,Tiempo parcial,Indefinido escrito,19352.3
21.0,Tiempo completo,Indefinido escrito,23290.6
14.0,Tiempo completo,Indefinido escrito,5060.3
12.0,Tiempo completo,Indefinido escrito,11602.01
51.0,Tiempo completo,Indefinido escrito,16937.9
41.0,Tiempo completo,Indefinido escrito,25946.8
23.0,Tiempo completo,Indefinido escrito,17502.2
22.0,Tiempo completo,Indefinido escrito,21939.0
21.0,Tiempo completo,Indefinido escrito,29413.3
2.0,Tiempo completo,Indefinido escrito,35431.8
53.0,Tiempo parcial,Temporal escrito,13958.5
13.0,Tiempo completo,Indefinido escrito,45760.1
25.0,Tiempo completo,Indefinido escrito,19182.6
42.0,Tiempo completo,Indefinido escrito,19346.3
34.0,Tiempo completo,Indefinido escrito,15230.6
32.0,Tiempo completo,Indefinido escrito,14968.2
26.0,Tiempo completo,Indefinido escrito,22585.73
24.0,Tiempo completo,Indefinido escrito,51798.5
91.0,Tiempo parcial,Indefinido escrito,12898.1
54.0,Tiempo completo,Indefinido escrito,32838.9
25.0,Tiempo completo,Indefinido escrito,26055.5
21.0,Tiempo completo,Indefinido escrito,22965.1
51.0,Tiempo completo,Indefinido escrito,35148.5
21.0,Tiempo completo,Indefinido escrito,21610.2
93.0,Tiempo completo,Indefinido escrito,22906.5
42.0,Tiempo completo,Indefinido escrito,20386.9
52.0,Tiempo parcial,Indefinido escrito,17772.1
43.0,Tiempo completo,Indefinido escrito,44324.1
24.0,Tiempo completo,Indefinido escrito,35302.5
35.0,Tiempo completo,Indefinido escrito,2838.4
34.0,Tiempo completo,Indefinido escrito,22315.6
22.0,Tiempo completo,Indefinido escrito,51946.7
41.0,Tiempo completo,Indefinido escrito,38804.2
91.0,Tiempo parcial,Indefinido escrito,14784.8
42.0,Tiempo completo,Indefinido escrito,25290.8
25.0,Tiempo completo,Indefinido escrito,35700.0
42.0,Tiempo completo,Indefinido escrito,15242.0
25.0,Tiempo completo,Indefinido escrito,37691.4
42.0,Tiempo completo,Indefinido escrito,19248.1
52.0,Tiempo completo,Indefinido escrito,8408.8
91.0,Tiempo completo,Indefinido escrito,16800.0
23.0,Tiempo completo,Indefinido escrito,78261.7
43.0,Tiempo completo,Indefinido escrito,28781.6
21.0,Tiempo completo,Indefinido escrito,45499.7
83.0,Tiempo completo,Indefinido escrito,14863.8
25.0,Tiempo completo,Indefinido escrito,17430.6
42.0,Tiempo completo,Indefinido escrito,21559.6
24.0,Tiempo completo,Indefinido escrito,48269.2
52.0,Tiempo parcial,Indefinido escrito,14189.6
93.0,Tiempo completo,Indefinido escrito,0.0
93.0,Tiempo parcial,Indefinido escrito,15774.3
51.0,Tiempo completo,Indefinido escrito,17928.6
24.0,Tiempo completo,Indefinido escrito,289247.5
33.0,Tiempo completo,Indefinido escrito,13577.7
51.0,Tiempo completo,Indefinido escrito,13750.7
51.0,Tiempo completo,Indefinido escrito,12116.1
34.0,Tiempo completo,Indefinido escrito,36962.7
52.0,Tiempo completo,Indefinido escrito,23877.2
35.0,Tiempo completo,Indefinido escrito,15205.8
24.0,Tiempo completo,Indefinido escrito,24323.1
33.0,Tiempo completo,Indefinido escrito,20279.4
34.0,Tiempo parcial,Temporal escrito,14984.8
14.0,Tiempo completo,Indefinido escrito,45423.3
21.0,Tiempo completo,Indefinido escrito,21144.9
22.0,Tiempo completo,Temporal escrito,24248.5
52.0,Tiempo parcial,Indefinido escrito,14774.5
35.0,Tiempo completo,Indefinido escrito,30428.8
42.0,Tiempo completo,Indefinido escrito,28580.5
51.0,Tiempo parcial,Temporal escrito,14926.4
31.0,Tiempo completo,Indefinido escrito,25247.6
25.0,Tiempo completo,Indefinido escrito,26617.2
23.0,Tiempo parcial,Indefinido escrito,11697.3
71.0,Tiempo completo,Indefinido escrito,29231.9
91.0,Tiempo completo,Indefinido escrito,24534.59
42.0,Tiempo completo,Indefinido escrito,25482.4
35.0,Tiempo completo,Indefinido escrito,11876.9
26.0,Tiempo completo,Indefinido escrito,1874.2
41.0,Tiempo completo,Indefinido escrito,15765.8
26.0,Tiempo completo,Indefinido escrito,111460.3
91.0,Tiempo parcial,Indefinido escrito,15541.1
91.0,Tiempo parcial,Temporal escrito,1029.8
52.0,Tiempo parcial,Indefinido escrito,16434.5
35.0,Tiempo completo,Indefinido escrito,28466.2
93.0,Tiempo completo,Indefinido escrito,16060.2
