DB010,DB020,DB030,DB040,DB040_F,DB090,DB090_F,DB100,DB100_F
2025,ES,338,ES43,1,116.65004,1,1,1
2025,ES,339,ES43,1,230.13790,1,1,1
2025,ES,340,ES43,1,228.23658,1,1,1
2025,ES,341,ES43,1,315.17320,1,1,1
2025,ES,342,ES43,1,393.22874,1,1,1
2025,ES,343,ES43,1,298.49033,1,1,1
2025,ES,344,ES43,1,582.49562,1,3,1
2025,ES,345,ES43,1,358.49018,1,1,1
2025,ES,346,ES43,1,305.50161,1,1,1
2025,ES,347,ES43,1,424.63401,1,1,1
2025,ES,348,ES43,1,76.39541,1,1,1
2025,ES,349,ES43,1,1801.65993,1,1,1
2025,ES,350,ES43,1,630.72750,1,2,1
2025,ES,351,ES43,1,667.06434,1,2,1
2025,ES,352,ES43,1,477.18466,1,2,1
2025,ES,353,ES43,1,444.68368,1,2,1
2025,ES,354,ES43,1,507.17761,1,2,1
2025,ES,355,ES43,1,780.11042,1,2,1
2025,ES,356,ES43,1,442.19811,1,2,1
2025,ES,357,ES43,1,771.61893,1,2,1
2025,ES,358,ES43,1,535.73362,1,2,1
2025,ES,359,ES43,1,403.67188,1,2,1
2025,ES,360,ES43,1,801.40080,1,2,1
2025,ES,361,ES43,1,922.42037,1,2,1
2025,ES,362,ES43,1,482.08355,1,2,1
2025,ES,364,ES43,1,516.10011,1,2,1
2025,ES,365,ES43,1,697.63372,1,2,1
2025,ES,366,ES43,1,566.61531,1,3,1
2025,ES,368,ES43,1,484.50688,1,3,1
2025,ES,369,ES43,1,306.90933,1,3,1
2025,ES,370,ES43,1,244.91177,1,3,1
2025,ES,371,ES43,1,726.44171,1,3,1
2025,ES,372,ES43,1,950.54572,1,3,1
2025,ES,373,ES43,1,476.80358,1,3,1
2025,ES,374,ES53,1,164.92783,1,3,1
2025,ES,375,ES53,1,352.68385,1,3,1
2025,ES,376,ES30,1,289.35977,1,1,1
2025,ES,377,ES53,1,1083.11811,1,1,1
2025,ES,378,ES53,1,682.81579,1,1,1
2025,ES,379,ES53,1,4145.78806,1,1,1
2025,ES,381,ES53,1,111.14140,1,1,1
2025,ES,382,ES53,1,594.51117,1,1,1
2025,ES,384,ES53,1,422.12404,1,2,1
2025,ES,385,ES53,1,499.29133,1,2,1
2025,ES,386,ES53,1,877.91965,1,2,1
2025,ES,388,ES53,1,1128.90777,1,2,1
2025,ES,389,ES53,1,369.07162,1,2,1
2025,ES,390,ES53,1,351.87179,1,2,1
2025,ES,391,ES53,1,133.16205,1,2,1
2025,ES,392,ES53,1,144.63512,1,2,1
2025,ES,393,ES53,1,257.73652,1,2,1
2025,ES,395,ES53,1,349.25506,1,2,1
2025,ES,396,ES53,1,667.18258,1,2,1
2025,ES,397,ES53,1,250.82412,1,2,1
2025,ES,398,ES53,1,402.72988,1,2,1
2025,ES,399,ES53,1,347.96900,1,2,1
2025,ES,400,ES53,1,332.13132,1,2,1
2025,ES,402,ES53,1,886.57206,1,2,1
2025,ES,403,ES53,1,593.32968,1,1,1
2025,ES,404,ES53,1,840.48748,1,1,1
